input,candidate,reference
"The school yard renovation was originally planned back in 2008/2009, however, high unplanned expenses meant that the work had to be pushed back.","Die Schule wurde 2008/2009 geplant, aber eine hohe ungeplanten Ausgabenkosten, die die Arbeit zurückzudrängen musste, bedeutete eine ursprüngliche Renovierung.","Ursprünglich war die Schulhofsanierung sogar schon in den Jahren 2008/2009 geplant, doch hohe unplanmäßige Ausgaben brachten eine Verschiebung."
"Consequently, they will be particularly motivated playing against their former coach.",Sie werden daher besonders motiviert gegen ihren früheren Busch spielen.,Von daher werden sie gegen ihren Ex-Coach sicher ganz besonders motiviert sein.
"They're not all experienced racers, but people looking for excitement and adventure, and an achievable path towards world-class events.","Sie sind nicht alle erfahrenen Rennfahrer, sondern Menschen, die aufregende Erlebnisse und einen erreichbaren Weg zu Weltklasse-Events suchen.","Sie sind nicht alle erfahrene Rennfahrer, sondern Leute, die auf der Suche nach Spannung und Abenteuer sind sowie nach einem erreichbaren Weg zu Weltklasse-Veranstaltungen."
"The letter extends an offer to cooperate with German authorities ""when the difficulties of this humanitarian situation have been resolved.""","Das Schreiben erweist sich als Angebot an eine Zusammenarbeit mit deutschen Behörden ""wenn die Schwierigkeiten dieser humanitären Situation gelöst wurden"".","In seinem Brief macht Snowden den deutschen Behörden ein Angebot der Zusammenarbeit, „wenn die Schwierigkeiten rund um die humanitäre Situation gelöst wurden“."
The residents of the Bischof-Freundorfer-Weg reported that a car was wrapped in toilet paper and its wheel trims stolen.,"Die Bewohner des Bischof-Freundundund-Weg berichteten, dass ein Auto in der Toilette verpackt wurde und seine Felgen gestohlen wurde.","Ein Anwohner im Bischof-Freundorfer-Weg meldete, dass sein Pkw mit Klopapier eingewickelt und seine Radzierblenden entwendet wurden."
"The ice cream harnesses the fluorescent properties of a jellyfish, synthesized by Chinese scientists","Die Eiskreme nutzt die fluoreszen Eigenschaften eines Quallenhemfels, synthetisches, synthetisches, synthetisches, synthetisches.","Die Eiscreme nutzt die fluoreszierenden Eigenschaften einer Qualle, die von chinesischen Wissenschaftler künstlich hergestellt werden"
Gutach: Increased safety for pedestrians,Gutach: Sicherheit für Fußgänger,Gutach: Noch mehr Sicherheit für Fußgänger
He was spared a driving ban on account of the special circumstances - but was not spared a fine.,"Er hat ein Fahrverbot aufgrund der besonderen Umstände verschont, aber keine schönen Worte geschont.",Ein Fahrverbot blieb ihm wegen der besonderen Situation erspart - die Geldstrafe aber nicht.
I did this mainly because I hankered after money and fame.,"Ich tat dies hauptsächlich, weil ich nach dem Geld und Ruhm streiche.","Ich habe es in erster Linie getan, weil ich auf Geld und Ruhm aus war."
"This year, sexy inanimate objects are all the rage.",Dieses Jahr sind sexy in den dunklen Objekten die Wut.,In diesem Jahr sind aufreizende unbelebte Gegenstände der letzte Schrei.
Was his death the result of a crime?,War sein Tod infolge eines Verbrechens?,Ist sein Tod auf ein Verbrechen zurückzuführen?
"A ""genuineness"" test for foreign workers on 457 visas is being considered by the government as it contemplates expanding a crackdown.","Eine ""genuinische Unzufriedenheit"" für ausländische Arbeiter auf Visa wird von der Regierung als solche angesehen, da sie eine harte Aufhebung ausweitet.",Die Regierung denkt im Rahmen erweiterter Maßnahmen über einen „Echtheitstest“ für ausländische Arbeitnehmer mit 457-Visum nach.
"The film will be followed by coffee, tea and cake.","Der Film wird dann von Kaffee, Tee und Kuchen gefolgt.","Nach dem Film gibt es Kaffee, Tee und Kuchen."
"Thus, A-Youth player Joost Windßuß, who plays an active part for A-Youth League team HC Bremen, will be celebrating his season début.","So wird A-Youth-Jugend-Spieler Joostuß, der eine aktive Teilnahme an einem Teilchen HC Bremen-Team HC Bremen spielt, seine Département début.","Dafür feiert der A-Jugendliche Joost Windßuß, der mit Doppelspielrecht beim A-Jugend-Bundesligisten HC Bremen aktiv ist, sein Saisondebüt."
A pane of glass was shattered.,Eine Aufgabe des Glases war zerstört worden.,Eine Scheibe zerbrach.
Check out the ASCOVIME website and see how to help.,"Auf der ASCOVIME können Sie sich ansehen, wie Sie Hilfe suchen.","Besuchen Sie die Website von ASCOVIME und erfahren Sie, wie Sie helfen können."
One of the festival's biggest draws will be an interview: David Steinberg talking to Larry David.,Eines der größten Festival-Jahres-Jury wird ein Interview sein: David Steinberg redet mit Larry David.,Zu den größten Besuchermagneten des Festivals gehört ein Interview: David Steinberg spricht mit Larry David.
"This Friday evening, the ""Pump this party"" event will be taking place, while one day later, on Saturday evening, festivities will continue with an over-25s party.","Am Freitagabend wird die Party ""Pumpump diese Party"" stattfinden, eines Tages später, am Samstagabend, Festtags-Fest, Festivals mit einem über 25-Jahre.","Am heutigen Freitagabend heißt es ""Pump this party"", am morgigen Samstagabend geht es mit einer Ü 25-Party weiter."
Hoarding on the Bechtle plot painted,Das Einschlag an der Bleche,Den Bauzaun auf dem Bechtle-Grundstück bemalt
"Drew Bowler, the managing director of Bowler Motorsport, said: ""Rally customers coming to Bowler have changed.""","Drew Bowler, Geschäftsführer von Bowler Motorsport, sagte: ""Rally Kunden, die an Bowler kommen, haben sich verändert.""","Drew Bowler, Geschäftsführer von Bowler Motorsport, erklärt: „Die Rally-Kunden, die zu Bowler kommen, haben sich verändert.“"
