input,candidate,reference
"The school yard renovation was originally planned back in 2008/2009, however, high unplanned expenses meant that the work had to be pushed back.","Die Schule-Renovierung wurde ursprünglich 2008/2009 geplant, wobei die hohen Kosten jedoch zu ungeplanten Kosten führen mussten.","Ursprünglich war die Schulhofsanierung sogar schon in den Jahren 2008/2009 geplant, doch hohe unplanmäßige Ausgaben brachten eine Verschiebung."
"Consequently, they will be particularly motivated playing against their former coach.",Sie werden deshalb auch gegen ihren ehemaligen Reisebus besonders motiviert sein.,Von daher werden sie gegen ihren Ex-Coach sicher ganz besonders motiviert sein.
"They're not all experienced racers, but people looking for excitement and adventure, and an achievable path towards world-class events.","Sie sind nicht alle erfahrenen Rennen, sondern Menschen, die aufregend und ein erreichbares Erlebnis und ein erreichbares Weg zu den weltweit erreichten Veranstaltungen.","Sie sind nicht alle erfahrene Rennfahrer, sondern Leute, die auf der Suche nach Spannung und Abenteuer sind sowie nach einem erreichbaren Weg zu Weltklasse-Veranstaltungen."
"The letter extends an offer to cooperate with German authorities ""when the difficulties of this humanitarian situation have been resolved.""","Das Schreiben erweitert ein Angebot an deutschen Behörden, ""wenn die Schwierigkeiten dieser humanitären Situation gelöst wurden "".","In seinem Brief macht Snowden den deutschen Behörden ein Angebot der Zusammenarbeit, „wenn die Schwierigkeiten rund um die humanitäre Situation gelöst wurden“."
The residents of the Bischof-Freundorfer-Weg reported that a car was wrapped in toilet paper and its wheel trims stolen.,"Die Bewohner des Bischofs Freundorfer-Weg berichteten, dass ein Auto in der Papier- und ihrer Felgenkleidung gestohlen wurde.","Ein Anwohner im Bischof-Freundorfer-Weg meldete, dass sein Pkw mit Klopapier eingewickelt und seine Radzierblenden entwendet wurden."
"The ice cream harnesses the fluorescent properties of a jellyfish, synthesized by Chinese scientists","Die Eiscen verwendet die fluessigen Eigenschaften eines Geleefish, synthetisiert durch chinesische WissenschaftlerInnen.","Die Eiscreme nutzt die fluoreszierenden Eigenschaften einer Qualle, die von chinesischen Wissenschaftler künstlich hergestellt werden"
Gutach: Increased safety for pedestrians,Gutach: Stellverkehrssicherheit für Fußgänger,Gutach: Noch mehr Sicherheit für Fußgänger
He was spared a driving ban on account of the special circumstances - but was not spared a fine.,"Er wurde ein Fahrverbot für die besonderen Umstände verschont, aber es wurde nicht gut erspart.",Ein Fahrverbot blieb ihm wegen der besonderen Situation erspart - die Geldstrafe aber nicht.
I did this mainly because I hankered after money and fame.,"Ich tat dies hauptsächlich, weil ich nach Geld und Ruhm hantschauen.","Ich habe es in erster Linie getan, weil ich auf Geld und Ruhm aus war."
"This year, sexy inanimate objects are all the rage.","Dieses Jahr, sexy in bewaffneten Objekten sind alle die Wut.",In diesem Jahr sind aufreizende unbelebte Gegenstände der letzte Schrei.
Was his death the result of a crime?,War sein Tod das Ergebnis einer Verbrechen?,Ist sein Tod auf ein Verbrechen zurückzuführen?
"A ""genuineness"" test for foreign workers on 457 visas is being considered by the government as it contemplates expanding a crackdown.","Ein ""Gegensatz"" für ausländische Arbeitnehmer auf 457 Visum wird von der Regierung als Regierung betrachtet, da sie ein hartes Vorgehen ausweitet.",Die Regierung denkt im Rahmen erweiterter Maßnahmen über einen „Echtheitstest“ für ausländische Arbeitnehmer mit 457-Visum nach.
