input,candidate,reference
"The school yard renovation was originally planned back in 2008/2009, however, high unplanned expenses meant that the work had to be pushed back.","Die Renovierungsarbeiten waren ursprünglich im Jahr 2008/2009 geplant, hingegen mit hohen ungeplanten Ausgaben, die zurückzufahren mussten.","Ursprünglich war die Schulhofsanierung sogar schon in den Jahren 2008/2009 geplant, doch hohe unplanmäßige Ausgaben brachten eine Verschiebung."
"Consequently, they will be particularly motivated playing against their former coach.","Deshalb werden sie besonders motiviert sein, gegen ihren ehemaligen Busch zu spielen.",Von daher werden sie gegen ihren Ex-Coach sicher ganz besonders motiviert sein.
"They're not all experienced racers, but people looking for excitement and adventure, and an achievable path towards world-class events.","Sie sind nicht alle erfahrenen Rennen, sondern Menschen, die auf der Suche nach Spannung und Abenteuer und einem erreichbaren Weg in Richtung von Weltrangstouren suchen.","Sie sind nicht alle erfahrene Rennfahrer, sondern Leute, die auf der Suche nach Spannung und Abenteuer sind sowie nach einem erreichbaren Weg zu Weltklasse-Veranstaltungen."
"The letter extends an offer to cooperate with German authorities ""when the difficulties of this humanitarian situation have been resolved.""","Der Brief erweitert ein Angebot zur Zusammenarbeit mit deutschen Behörden "", wenn die Schwierigkeiten dieser humanitären Situation gelöst sind.","In seinem Brief macht Snowden den deutschen Behörden ein Angebot der Zusammenarbeit, „wenn die Schwierigkeiten rund um die humanitäre Situation gelöst wurden“."
The residents of the Bischof-Freundorfer-Weg reported that a car was wrapped in toilet paper and its wheel trims stolen.,"Die Bewohner des Bischofs-Freundlöser-Weg berichteten, dass ein Auto in WC und das Rad für die Straßen gestohlen wurde.","Ein Anwohner im Bischof-Freundorfer-Weg meldete, dass sein Pkw mit Klopapier eingewickelt und seine Radzierblenden entwendet wurden."
"The ice cream harnesses the fluorescent properties of a jellyfish, synthesized by Chinese scientists","Die Eis-Creme kurbelt die fluoreszierenden Fluor-Eigenschaften eines Geleefis, die von den chinesischen Wissenschaftlern aus synthetisiert werden.","Die Eiscreme nutzt die fluoreszierenden Eigenschaften einer Qualle, die von chinesischen Wissenschaftler künstlich hergestellt werden"
Gutach: Increased safety for pedestrians,Gutach: Wahrung der Sicherheit für Fußgänger,Gutach: Noch mehr Sicherheit für Fußgänger
He was spared a driving ban on account of the special circumstances - but was not spared a fine.,"Er war aufgrund der besonderen Umstände ein Fahrverbot verschont, aber nicht ausgezeichnet.",Ein Fahrverbot blieb ihm wegen der besonderen Situation erspart - die Geldstrafe aber nicht.
I did this mainly because I hankered after money and fame.,Ich habe dies vor allem weil ich nach Geld und Ruhm.,"Ich habe es in erster Linie getan, weil ich auf Geld und Ruhm aus war."
"This year, sexy inanimate objects are all the rage.",In diesem Jahr sind sexy Objekte all die Wut.,In diesem Jahr sind aufreizende unbelebte Gegenstände der letzte Schrei.
Was his death the result of a crime?,War sein Tod das Ergebnis eines Verbrechens?,Ist sein Tod auf ein Verbrechen zurückzuführen?
"A ""genuineness"" test for foreign workers on 457 visas is being considered by the government as it contemplates expanding a crackdown.","Ein ""Ganznachteil"" Test für ausländische Arbeiter auf ein Visum für ausländische Arbeiter auf 457 wird von der Regierung als prägen, das sie eine härtere Hürde ausweitet.",Die Regierung denkt im Rahmen erweiterter Maßnahmen über einen „Echtheitstest“ für ausländische Arbeitnehmer mit 457-Visum nach.
"The film will be followed by coffee, tea and cake.","Der Film wird von Kaffee, Tee und Kuchen.","Nach dem Film gibt es Kaffee, Tee und Kuchen."
"Thus, A-Youth player Joost Windßuß, who plays an active part for A-Youth League team HC Bremen, will be celebrating his season début.","So, A-Youth Spieler Joost Winduß, der eine aktive Rolle für A-Youth League Team HC Bremen spielt, wird seine Saison feiern.","Dafür feiert der A-Jugendliche Joost Windßuß, der mit Doppelspielrecht beim A-Jugend-Bundesligisten HC Bremen aktiv ist, sein Saisondebüt."
A pane of glass was shattered.,Eine Glasscheibe wurde zerstört.,Eine Scheibe zerbrach.
Check out the ASCOVIME website and see how to help.,"Schauen Sie sich die Website von ASCOVIME an und sehen Sie, wie Sie helfen können.","Besuchen Sie die Website von ASCOVIME und erfahren Sie, wie Sie helfen können."
One of the festival's biggest draws will be an interview: David Steinberg talking to Larry David.,Einer der größten Zitate des Festivals wird ein Interview sein: David Steinberg spricht mit Larry David.,Zu den größten Besuchermagneten des Festivals gehört ein Interview: David Steinberg spricht mit Larry David.
"This Friday evening, the ""Pump this party"" event will be taking place, while one day later, on Saturday evening, festivities will continue with an over-25s party.","Am Freitag Abend wird die ""Pumpen-Party"" stattfinden, während am Samstagabend eines Tages die Feste mit einer über 25-25er-Party fortgesetzt werden.","Am heutigen Freitagabend heißt es ""Pump this party"", am morgigen Samstagabend geht es mit einer Ü 25-Party weiter."
Hoarding on the Bechtle plot painted,Hölzer auf dem Bechtle-Baugbaum gemaltesen bei Männern.,Den Bauzaun auf dem Bechtle-Grundstück bemalt
"Drew Bowler, the managing director of Bowler Motorsport, said: ""Rally customers coming to Bowler have changed.""","Drew Bowler, der Geschäftsführer von Bowler Motorsport, sagte: ""Rally Kunden kommen zu Bowler, haben sich geändert.""","Drew Bowler, Geschäftsführer von Bowler Motorsport, erklärt: „Die Rally-Kunden, die zu Bowler kommen, haben sich verändert.“"
Some of his communications will undoubtedly have been legitimate ones because he was their lawyer.,"Einige seiner Mitteilungen werden zweifellos berechtigte sein, weil er ihren Anwalt war.","Ein Teil seiner Mitteilungen war zweifellos legitim, denn er war der Anwalt dieser Personen."
"Alongside the local Eon power plant, the imported coals also go to power plants inland.",Neben dem Eon Power Plant-Kraftwerk gehen auch die importierten Coals in den Kraftwerken ins Inland.,Neben dem Eon-Kraftwerk vor Ort geht die Importkohle zu Kraftwerken im Binnenland.
"However, it must operate differently to the classic student digs.",Allerdings muss sie anders operieren als die klassischen SchülerInnen.,Das müsse dann aber anders verlaufen als in der klassischen Studenten-WG.
"According to the confession, on five occasions he got to know women via Internet or telephone contacts, who he then sent out onto the streets against their will after a few weeks.","Laut dem Beichtswerk, fünfmal hat er Frauen über Internet oder Telefonkontakte kennen lernen, die er dann nach einigen Wochen auf die Straße geschickt hatte.","Demnach hat er in fünf Fällen Frauen über Internet- oder Telefonkontakte kennengelernt, die er nach einigen Wochen gegen ihren Willen auf den Strich schickte."
Haigerloch: Focus on the Abendmahlskirche,Haigerloch: Focus auf der Abendmahlskirche,Haigerloch: Abendmahlskirche rückt in den Blickpunkt
"This week Standard & Poor's, the rating agency, cited increasing household leverage, mainly from rising mortgages, as a risk factor for Asian banks"" creditworthiness.","Die Ratingagentur, die zunehmende Fremdwährungshandlung der Privathaushalte, hat in dieser Woche Standard & Poor's, insbesondere aus steigenden Hypotheken, als Risikofaktor für asiatische Banken zitiert.","Diese Woche bezeichnete die Rating-Agentur Standard & Poor's wachsende Haushaltsverschuldung, hauptsächlich durch steigende Hypotheken, als einen Risikofaktor für die Kreditwürdigkeit asiatischer Banken."
"""I'm not sure when he sleeps,"" said Katie O'Malley, a second-year medical student from Drexel University in Philadelphia and volunteer with Bwelle's group.","""Ich bin nicht sicher, wenn er schläft,"" sagte Katie O'Malley, ein zweites Jahre medizinischer Student der Drexel Universität in Philadelphia und ehrenamtlicher Gruppe mit Bwelle.","„Ich weiß wirklich nicht, wann er schläft“, sagt Katie O'Malley, die im zweiten Jahr an der Drexel University in Philadelphia Medizin studiert und freiwillig in Bwelles Gruppe mitarbeitet."
"We have the museum, two churches, the spa gardens, the bus stop, a doctor's practice and a bank, not to mention the traffic from the 'Grub' residential area.","Wir haben das Museum, zwei Kirchen, die Kurgärten, die Haltestelle, die Buspraxis eines Arztes und eine Bank, um den Verkehr von der Grub-Wohnanlage zu erwähnen.","Wir haben das Museum, zwei Kirchen, Kurpark, die Bushaltestelle, einen Arzt und eine Bank sowie den Verkehrsfluss aus dem Wohngebiet ›Grub‹."
"Syria has destroyed its chemical weapons making ability, watchdog group says","Syrien hat seine chemische Waffen zerstört, die Fähigkeit zur Fähigkeit macht, sagt die Kontrollgruppe, sagt Kontrolle über die chemische Waffen.","Syrien hat seine Möglichkeit zur Herstellung von Chemiewaffen zerstört, so eine Überwachungsgruppe"
"And he argues: ""Certain flavours are not linked to animal produce"".","Und er argumentiert: ""Gewisse Geschmacksmuster sind nicht mit tierischen Erzeugnissen verknüpft"".","Und wendet ein: ""Bestimmte Geschmäcker sind nicht am Tier festzumachen""."
But there has been only a slight shift in the age of menarche (the first period) over the past four decades.,Aber es hat sich in den letzten vier Jahrzehnten nur eine leichte Verlagerung des Altertums (die erste Periode) gegeben.,Dennoch es gab nur eine leichte Verschiebung beim Alter der Menarche (Auftreten der ersten Regelblutung) in den letzten 40 Jahren.
Tomorrow he will attempt to train with the team.,"Morgen wird er versuchen, mit dem Team zu trainieren.","Morgen wird er versuchen, mit der Mannschaft zu trainieren."
"And while Congress can't agree on whether to proceed, several states are not waiting.","Und während der Kongress nicht einverstanden ist, ob man weiter vorankommen soll, warten mehrere Staaten nicht.","Doch während man sich im Kongress nicht auf ein Vorgehen einigen kann, warten mehrere Bundesstaaten nicht länger."
There is going to be a change in how we pay these taxes.,"Es wird eine Änderung dafür geben, wie wir diese Steuern zahlen.","Die Art und Weise, wie wir diese Steuern zahlen, wird sich verändern."
The latter story is now particularly significant.,Die letztgenannte Geschichte ist jetzt besonders wichtig.,Diese Geschichte ist jetzt besonders signifikant.
